,INSEE_COM,PrixMoyen_M2_2223,Prixm2Moyen_2022,Prixm2Moyen_2023,loyer_apparts,loyer_maisons,R2appart,R2maison,Loyer_annuel_apparts,Loyer_annuel_maisons,Rendement_locatif_apparts,Rendement_locatif_maisons,INSEE_DEP,NOM_COM_M,POPULATION
76,09100,997.2333333333332,1058.5,874.7,7.7487671340012,6.80815090208763,"0,67184343158923","0,641464989872241",92.9852056080144,81.69781082505156,9.324317840159214,8.19244685212938,09,Couflens,104
77,09101,1479.7142857142874,1280.66666666667,1629.0,9.63237300325992,8.10907916123189,"0,747412637084959","0,5261364426342",115.58847603911904,97.30894993478267,7.8115401841459,6.576198586054044,09,Coussa,282
78,09103,2126.7499999999973,2086.58333333333,2247.25,9.63237300325992,8.10907916123189,"0,747412637084959","0,5261364426342",115.58847603911904,97.30894993478267,5.434981828570315,4.575476663208312,09,Crampagna,973
79,09104,1781.15384615385,1536.66666666667,1990.71428571429,9.63237300325992,8.10907916123189,"0,747412637084959","0,5261364426342",115.58847603911904,97.30894993478267,6.489527914094339,5.463253505299814,09,Dalou,802
80,09105,1431.7796610169482,1405.25,1463.22222222222,8.09239651320027,7.03911349526334,"0,818083974152368","0,684063495015358",97.10875815840323,84.46936194316008,6.782381451726304,5.899606220356849,09,Daumazan-sur-Arize,815
81,09106,1252.0,1708.25,795.75,8.83138047715341,6.55154285869723,"0,660491209864879","0,612429932898961",105.97656572584091,78.61851430436676,8.4645819269841,6.279434049869549,09,Dreuilhe,380
82,09107,1319.0476190476177,1137.72727272727,1518.5,7.8405536623608,6.55154285869723,"0,684062129800163","0,612429932898961",94.0866439483296,78.61851430436676,7.132922465396836,5.960248376865356,09,Dun,662
83,09108,1026.2222222222244,1136.14285714286,641.5,8.09239651320027,6.6279770632297,"0,818083974152368","0,621388463484879",97.10875815840323,79.5357247587564,9.462741700147546,7.750341303906519,09,Durban-sur-Arize,186
84,09110,1391.25,944.0,2733.0,7.99999498549017,6.80815090208763,"0,701637250926066","0,641464989872241",95.99993982588204,81.69781082505156,6.900265216595296,5.872259538188792,09,Encourtiech,100
85,09111,2448.83333333333,3156.33333333333,1741.33333333333,7.7487671340012,6.80815090208763,"0,67184343158923","0,641464989872241",92.9852056080144,81.69781082505156,3.7971226682643926,3.336193186893828,09,Engomer,328
86,09113,2143.043478260869,1931.76923076923,2417.7,7.7487671340012,6.80815090208763,"0,67184343158923","0,641464989872241",92.9852056080144,81.69781082505156,4.338932296580101,3.812233006646757,09,Ercé,583
87,09114,2009.8571428571413,1822.33333333333,2150.5,7.7487671340012,6.80815090208763,"0,67184343158923","0,641464989872241",92.9852056080144,81.69781082505156,4.626458449471187,4.064856605127311,09,Erp,134
88,09116,1037.8,1001.5,1183.0,9.40122754722737,6.6279770632297,"0,782462981723862","0,621388463484879",112.81473056672844,79.5357247587564,10.870565674188516,7.663877891574138,09,Escosse,367
89,09118,2271.0,3625.0,917.0,8.09239651320027,6.6279770632297,"0,818083974152368","0,621388463484879",97.10875815840323,79.5357247587564,4.27603514568046,3.5022335869113346,09,Esplas-de-Sérou,173
90,09119,1598.3,1890.5,1403.5,7.7487671340012,6.80815090208763,"0,67184343158923","0,641464989872241",92.9852056080144,81.69781082505156,5.817756717012727,5.11154419227001,09,Eycheil,541
91,09120,2130.300000000001,2244.88888888889,1099.0,8.09239651320027,7.03911349526334,"0,818083974152368","0,684063495015358",97.10875815840323,84.46936194316008,4.558454591297151,3.96513927349012,09,Fabas,357
92,09121,2077.086956521738,2175.08333333333,1970.18181818182,8.54699875743156,6.53527258180149,"0,769838407411312","0,666622064703731",102.56398508917871,78.42327098161788,4.937876325646519,3.77563735285038,09,Ferrières-sur-Ariège,862
93,09122,1615.88392857143,1582.91666666667,1648.85119047619,8.9774584770674,7.43816295657764,"0,769838407411312","0,666622064703731",107.72950172480878,89.25795547893168,6.66690842207028,5.523785087573883,09,Foix,10051
94,09124,1650.35135135135,1722.54545454545,1544.46666666667,8.09239651320027,7.59169898926269,"0,818083974152368","0,66930516490068",97.10875815840323,91.10038787115228,5.884126315216946,5.520060185763289,09,Le Fossat,1077
95,09125,1426.1481481481476,1368.78947368421,1562.375,8.83138047715341,7.72465669534667,"0,660491209864879","0,687306582108781",105.97656572584091,92.69588034416005,7.430964718739173,6.499737104067735,09,Fougax-et-Barrineuf,435
96,09127,3108.0,3641.0,2841.5,8.27641565342848,6.6279770632297,"0,775943184031041","0,621388463484879",99.31698784114177,79.5357247587564,3.195527279316015,2.5590645031774906,09,Gabre,125
97,09128,2114.7500000000014,1682.66666666667,2374.0,7.99999498549017,6.80815090208763,"0,701637250926066","0,641464989872241",95.99993982588204,81.69781082505156,4.5395408358379,3.8632373011018566,09,Gajan,344
98,09129,1638.416666666665,1068.0,2045.85714285714,8.64648467864198,7.24510605850142,"0,653507028132275","0,690209572235891",103.75781614370376,86.94127270201705,6.33281009981408,5.306420184243963,09,Galey,117
